k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,D,D_coe,Element,gen_coe
15,9,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,11,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,13,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,15,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,17,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,6,1 0 0 0 0 0 0 0 0 0 0 0
15,,,,,,,,,,,,,,
16,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,3,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ HP(Q^{2}(\beta_{1}))=ab",,,,10,1 0 0 0 0 0 0 0 0 0 0 0
16,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,7,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,18,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
16,,,,,,,,,,,,,,
17,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,3,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ HP(\overline{Q}^2(\beta_{1}))=AB",,,,11,1 0 0 0 0 0 0 0 0 0 0 0
17,5,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,7,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,9,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
17,,,,,,,,,,,,,,
18,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,3,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{5}^{*}(3))=a_{4}(1)",,,,12,1 0 0 0 0 0 0 0 0 0 0 0
18,5,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{5}^{*}(5))=a_{3}(3)",,,,12,1 0 0 0 0 0 0 0 0 0 0 0
18,7,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{5}^{*}(7))=a_{2}(5)",,,,12,1 0 0 0 0 0 0 0 0 0 0 0
18,9,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th4.2(2),\ H(\alpha_{5}^{*}(9))=a_{1}(7)",,,,12,1 0 0 0 0 0 0 0 0 0 0 0
18,11,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,13,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,15,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,17,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,19,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,20,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
18,,,,,,,,,,,,,,
19,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
19,3,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p44,\ H:\pi_{3+k}^3\cong Q_k^1, \ for \ k\neq0",,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,5,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,7,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,9,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,11,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,13,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,15,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,17,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,19,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,21,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,7,1 0 0 0 0 0 0 0 0 0 0 0
19,,,,,,,,,,,,,,
20,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
20,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
20,5,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]p48, \ H(\beta_{1}(5)^{2})=ab",,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,7,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,9,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,11,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,13,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,15,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,17,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,19,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,21,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,22,0,3,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,,,,3 3,1 0 0 0 0 0 0 0 0 0 0 0
20,,,,,,,,,,,,,,
21,1,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,3,0,0,,,,,,,,,,0,1 0 0 0 0 0 0 0 0 0 0 0
21,5,0,3,,,,E^2 P=0,0 0 0 0 0 0 0 0 0 0 0 0,"[Toda3]Th5.1, \ H(\Delta(v(7)))=HP(B)=AB",,,,13,1 0 0 0 0 0 0 0 0 0 0 0
