k,n,id,orders,generator,P,P_coe,E,E_coe,H,H_coe,Element,gen_coe,,
21,9,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,9,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,10,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,10,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,10,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,11,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,11,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,11,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,11,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,12,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,12,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,12,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,12,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,12,4,0,,,,,,,,,0 0 0 0 1 0 0 0 0 0 0 0,,
21,13,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,13,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,13,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,13,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,14,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,14,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,14,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,15,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,15,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,15,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,16,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,16,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,16,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,16,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,17,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,17,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,17,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,18,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,18,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,18,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,19,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,19,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,19,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,19,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,20,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,20,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,20,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,20,3,0,,,,,,,,,0 0 0 1 0 0 0 0 0 0 0 0,,
21,21,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,21,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
21,21,2,0,,,,,,,,,0 0 1 0 0 0 0 0 0 0 0 0,,
21,22,0,0,,,,,,,,,1 0 0 0 0 0 0 0 0 0 0 0,,
21,22,1,0,,,,,,,,,0 1 0 0 0 0 0 0 0 0 0 0,,
